index,data,quantidade,LAG1,LAG2,day_of_week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,mes,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,trimestre,feriado
37,2022-01-10,450,5520.0,939.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
38,2022-01-10,180,450.0,5520.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
40,2022-01-11,1401,360.0,9606.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
39,2022-01-11,672,1401.0,360.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
41,2022-01-11,360,9606.0,480.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
42,2022-01-11,600,672.0,1401.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
43,2022-01-11,480,3000.0,1707.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
45,2022-01-11,3000,1707.0,180.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
44,2022-01-11,1707,180.0,450.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
46,2022-01-11,9606,480.0,3000.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
47,2022-01-12,5580,600.0,672.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
48,2022-01-12,1401,5580.0,600.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
49,2022-01-12,600,1401.0,5580.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
50,2022-01-12,492,600.0,1401.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
51,2022-01-12,546,492.0,600.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
52,2022-01-12,1500,546.0,492.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
53,2022-01-12,45,1500.0,546.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
56,2022-01-13,5172,600.0,45.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
54,2022-01-13,3945,5172.0,600.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
55,2022-01-13,600,45.0,1500.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
57,2022-01-14,4401,3945.0,5172.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
58,2022-01-14,750,4401.0,3945.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
59,2022-01-14,3624,750.0,4401.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
60,2022-01-14,6360,3624.0,750.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
61,2022-01-14,360,6360.0,3624.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
62,2022-01-14,480,360.0,6360.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
63,2022-01-14,180,480.0,360.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
64,2022-01-14,555,180.0,480.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
65,2022-01-14,606,555.0,180.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
66,2022-01-15,150,606.0,555.0,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
69,2022-01-17,30,5268.0,5931.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
67,2022-01-17,5268,5931.0,2550.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
68,2022-01-17,5931,2550.0,600.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
71,2022-01-17,600,6000.0,150.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
72,2022-01-17,6000,150.0,606.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
70,2022-01-17,2550,600.0,6000.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
73,2022-01-18,1980,30.0,5268.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
74,2022-01-18,390,1980.0,30.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
75,2022-01-18,1500,390.0,1980.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
76,2022-01-18,4695,1500.0,390.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
77,2022-01-19,6030,165.0,600.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
